name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
recife-pe,salvador-ba,REC,SSA,2020-01-02,2020,1,2,805,674.619520131157,8,-34.8889419445777,-8.06276248305241,-38.4880614840078,-13.0147719115328
campinas-sp,curitiba-pr,VCP,CWB,2020-01-18,2020,1,18,720,358.818629712133,9,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
curitiba-pr,campinas-sp,CWB,VCP,2020-01-18,2020,1,18,130,358.818629712133,8,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
campinas-sp,curitiba-pr,VCP,CWB,2020-02-01,2020,2,1,836,358.818629712133,8,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
curitiba-pr,campinas-sp,CWB,VCP,2020-01-11,2020,1,11,132,358.818629712133,7,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-14,2020,1,14,243,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
rio de janeiro-rj,guarulhos-sp,GIG,GRU,2020-01-09,2020,1,9,754,344.504582028252,23,-43.2278751249952,-22.8766521181865,-46.5310840856611,-23.468506
campinas-sp,curitiba-pr,VCP,CWB,2020-01-11,2020,1,11,739,358.818629712133,9,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
campinas-sp,curitiba-pr,VCP,CWB,2020-01-14,2020,1,14,697,358.818629712133,9,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
campinas-sp,curitiba-pr,VCP,CWB,2020-01-21,2020,1,21,734,358.818629712133,9,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
curitiba-pr,campinas-sp,CWB,VCP,2020-01-21,2020,1,21,281,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
campinas-sp,curitiba-pr,VCP,CWB,2020-01-25,2020,1,25,430,358.818629712133,7,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
curitiba-pr,campinas-sp,CWB,VCP,2020-01-25,2020,1,25,130,358.818629712133,7,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-12,2020,1,12,236,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-16,2020,1,16,272,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-28,2020,1,28,318,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
campinas-sp,curitiba-pr,VCP,CWB,2020-01-28,2020,1,28,719,358.818629712133,9,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
curitiba-pr,campinas-sp,CWB,VCP,2020-01-19,2020,1,19,259,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-23,2020,1,23,300,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-26,2020,1,26,308,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
curitiba-pr,campinas-sp,CWB,VCP,2020-01-30,2020,1,30,357,358.818629712133,9,-49.2718478850774,-25.432956,-47.0601562729731,-22.9073425
santarem-pa,belem-pa,STM,BEL,2020-01-23,2020,1,23,273,701.5533575521,6,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-23,2020,1,23,352,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-03,2020,1,3,228,1296.34977313357,3,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
belem-pa,manaus-am,BEL,MAO,2020-01-01,2020,1,1,1,1296.34977313357,1,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,manaus-am,BEL,MAO,2020-01-24,2020,1,24,255,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
manaus-am,belem-pa,MAO,BEL,2020-01-09,2020,1,9,398,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
santarem-pa,belem-pa,STM,BEL,2020-01-30,2020,1,30,280,701.5533575521,6,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-30,2020,1,30,344,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-29,2020,1,29,297,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
belem-pa,manaus-am,BEL,MAO,2020-01-09,2020,1,9,394,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,santarem-pa,BEL,STM,2020-01-09,2020,1,9,453,701.5533575521,6,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
manaus-am,belem-pa,MAO,BEL,2020-01-05,2020,1,5,265,1296.34977313357,3,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
belem-pa,manaus-am,BEL,MAO,2020-01-30,2020,1,30,432,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,santarem-pa,BEL,STM,2020-01-30,2020,1,30,430,701.5533575521,6,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
manaus-am,belem-pa,MAO,BEL,2020-01-31,2020,1,31,200,1296.34977313357,3,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-22,2020,1,22,317,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
belem-pa,manaus-am,BEL,MAO,2020-01-03,2020,1,3,205,1296.34977313357,3,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,manaus-am,BEL,MAO,2020-01-02,2020,1,2,392,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,santarem-pa,BEL,STM,2020-01-02,2020,1,2,357,701.5533575521,5,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
belem-pa,manaus-am,BEL,MAO,2020-01-22,2020,1,22,425,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,manaus-am,BEL,MAO,2020-01-31,2020,1,31,253,1296.34977313357,3,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
belem-pa,manaus-am,BEL,MAO,2020-01-05,2020,1,5,229,1296.34977313357,3,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
manaus-am,belem-pa,MAO,BEL,2020-01-24,2020,1,24,163,1296.34977313357,3,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
santarem-pa,belem-pa,STM,BEL,2020-01-02,2020,1,2,296,701.5533575521,5,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
manaus-am,belem-pa,MAO,BEL,2020-01-02,2020,1,2,435,1296.34977313357,4,-60.023335181061,-3.13469149120195,-48.4878256874876,-1.459845
belem-pa,manaus-am,BEL,MAO,2020-01-29,2020,1,29,458,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195
campinas-sp,curitiba-pr,VCP,CWB,2020-01-03,2020,1,3,370,358.818629712133,6,-47.0601562729731,-22.9073425,-49.2718478850774,-25.432956
campinas-sp,manaus-am,VCP,MAO,2020-01-08,2020,1,8,272,2596.15369325204,4,-47.0601562729731,-22.9073425,-60.023335181061,-3.13469149120195
