name_muni_uf_from,name_muni_uf_to,year,month,total_passdist,total_pass,total_dist,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
agua boa-mt,canarana-mt,2020,1,2501.71396340227,45,611.530079942777,55.5936436311615,11,-52.1589152986038,-14.0490868003435,-52.2734568634775,-13.559229509583
agua boa-mt,canarana-mt,2020,2,1445.4347344102,26,500.342792680454,55.5936436311615,9,-52.1589152986038,-14.0490868003435,-52.2734568634775,-13.559229509583
agua boa-mt,canarana-mt,2020,3,1334.24744714788,24,500.342792680454,55.5936436311615,9,-52.1589152986038,-14.0490868003435,-52.2734568634775,-13.559229509583
agua boa-mt,sao felix do araguaia-mt,2020,1,314.404451428794,1,3458.44896571673,314.404451428794,11,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,sao felix do araguaia-mt,2020,2,4401.66232000312,14,2515.23561143035,314.404451428794,8,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,sao felix do araguaia-mt,2020,3,943.213354286382,3,3458.44896571673,314.404451428794,11,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,sao felix do araguaia-mt,2020,4,628.808902857588,2,3144.04451428794,314.404451428794,10,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,sao felix do araguaia-mt,2020,5,1886.42670857276,6,2515.23561143035,314.404451428794,8,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,sao felix do araguaia-mt,2020,6,5344.8756742895,17,2829.64006285915,314.404451428794,9,-52.1589152986038,-14.0490868003435,-50.6619863699344,-11.6160823259386
agua boa-mt,varzea grande-mt,2020,1,2786.48920376266,6,4644.14867293776,464.414867293776,10,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
agua boa-mt,varzea grande-mt,2020,2,11145.9568150506,24,4644.14867293776,464.414867293776,10,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
agua boa-mt,varzea grande-mt,2020,3,6037.39327481909,13,5572.97840752531,464.414867293776,12,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
agua boa-mt,varzea grande-mt,2020,4,1857.6594691751,4,4644.14867293776,464.414867293776,10,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
agua boa-mt,varzea grande-mt,2020,5,6037.39327481909,13,3715.31893835021,464.414867293776,8,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
agua boa-mt,varzea grande-mt,2020,6,15325.6906206946,33,4179.73380564398,464.414867293776,9,-52.1589152986038,-14.0490868003435,-56.1446637401866,-15.6580648240885
almeirim-pa,almeirim-pa,2020,1,0,12,0,0,12,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
almeirim-pa,almeirim-pa,2020,2,0,4,0,0,11,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
almeirim-pa,almeirim-pa,2020,3,0,8,0,0,11,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
almeirim-pa,almeirim-pa,2020,4,0,0,0,0,5,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
almeirim-pa,almeirim-pa,2020,5,0,31,0,0,11,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
almeirim-pa,almeirim-pa,2020,6,0,29,0,0,12,-52.5768350868127,-1.52733880276478,-52.5768350868127,-1.52733880276478
