name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,year,month,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to,travel_time,top_plane,hourss,minutess
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,1,19763,1716.07332555781,153,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,2,14629,1716.07332555781,129,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,3,9730,1716.07332555781,101,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,4,1845,1716.07332555781,19,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,5,2021,1716.07332555781,34,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Aracaju-SE,Guarulhos-SP,AJU,GRU,2020,6,2865,1716.07332555781,40,-37.0482126395122,-10.9072157978835,-46.5310840856611,-23.468506,2 horas e 45 minutos,BOEING 737-800,2,45
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,1,17317,2192.54675029333,172,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,2,16647,2192.54675029333,160,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,3,13531,2192.54675029333,139,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,4,2007,2192.54675029333,25,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,5,2273,2192.54675029333,34,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Bayeux-PB,Guarulhos-SP,JPA,GRU,2020,6,3314,2192.54675029333,40,-34.9291858200857,-7.132276485,-46.5310840856611,-23.468506,3 horas e 19 minutos,BOEING 737-800,3,19
Belem-PA,Fortaleza-CE,BEL,FOR,2020,1,17764,1128.74622155446,154,-48.4878256874876,-1.459845,-38.5899275550432,-3.723805035,1 hora e 50 minutos,AIRBUS A320-100/200,1,50
Belem-PA,Fortaleza-CE,BEL,FOR,2020,2,15781,1128.74622155446,138,-48.4878256874876,-1.459845,-38.5899275550432,-3.723805035,1 hora e 50 minutos,AIRBUS A320-100/200,1,50
Belem-PA,Fortaleza-CE,BEL,FOR,2020,3,8952,1128.74622155446,107,-48.4878256874876,-1.459845,-38.5899275550432,-3.723805035,1 hora e 50 minutos,AIRBUS A320-100/200,1,50
Belem-PA,Fortaleza-CE,BEL,FOR,2020,4,47,1128.74622155446,1,-48.4878256874876,-1.459845,-38.5899275550432,-3.723805035,1 hora e 50 minutos,AIRBUS A320-100/200,1,50
Belem-PA,Guarulhos-SP,BEL,GRU,2020,1,18846,2444.14538160333,204,-48.4878256874876,-1.459845,-46.5310840856611,-23.468506,3 horas e 36 minutos,AIRBUS A320-100/200,3,36
Belem-PA,Guarulhos-SP,BEL,GRU,2020,2,15989,2444.14538160333,167,-48.4878256874876,-1.459845,-46.5310840856611,-23.468506,3 horas e 36 minutos,AIRBUS A320-100/200,3,36
Belem-PA,Guarulhos-SP,BEL,GRU,2020,3,9905,2444.14538160333,134,-48.4878256874876,-1.459845,-46.5310840856611,-23.468506,3 horas e 36 minutos,AIRBUS A320-100/200,3,36
Belem-PA,Guarulhos-SP,BEL,GRU,2020,4,974,2444.14538160333,31,-48.4878256874876,-1.459845,-46.5310840856611,-23.468506,3 horas e 36 minutos,AIRBUS A320-100/200,3,36
Belem-PA,Guarulhos-SP,BEL,GRU,2020,5,1496,2444.14538160333,31,-48.4878256874876,-1.459845,-46.5310840856611,-23.468506,3 horas e 36 minutos,AIRBUS A320-100/200,3,36
